20140901,246170470,194027921
20140902,244278724,187949786
20140903,234857333,190550489
20140904,244903930,203628831
20140905,246350212,209180420
20140906,237082988,207745678
20140907,234482299,201494578
20140908,237515066,203759499
20140909,237894413,203491979
20140910,239717637,217430594
20140911,244286442,215322657
20140912,238781579,218837689
20140913,240031361,217701562
20140914,242766034,217701562
20140915,242766034,213115359
20140916,242766034,215571486
20140917,242242609,214873991
20140918,242583947,222805080
20140919,242583947,219844469
20140920,242583947,219844469
20140921,241899302,221877680
20140922,240041873,221831729
20140923,239973449,225685537
20140924,239420357,233714754
20140925,247429969,236781581
20140926,248252480,238747792
20140927,243978313,236222136
20140928,247496170,236222136
20140929,250441960,231499594
20140930,234623446,227239934
